food_name,food_category,edible_part,calorie,protein,fat,carbohydrate
豌豆粉丝,薯类淀粉及其制品-淀粉类,100.0,368.0,0.4,0.0,91.7
粉条,薯类淀粉及其制品-淀粉类,100.0,338.0,0.5,0.1,84.2
马铃薯[土豆、洋芋],薯类淀粉及其制品-薯类,94.0,81.0,2.6,0.2,17.8
马铃薯丁(脱水),薯类淀粉及其制品-薯类,100.0,344.0,5.7,0.5,80.7
马铃薯(烤),薯类淀粉及其制品-薯类,100.0,70.0,1.8,0.1,16.4
马铃薯(蒸),薯类淀粉及其制品-薯类,100.0,69.0,3.0,0.0,15.3
马铃薯(煮),薯类淀粉及其制品-薯类,100.0,65.0,3.2,0.0,14.2
马铃薯全粉,薯类淀粉及其制品-薯类,100.0,362.0,8.4,0.5,82.7
甘薯(白心)[红皮山芋],薯类淀粉及其制品-薯类,86.0,106.0,1.4,0.2,25.2
甘薯片[白薯干],薯类淀粉及其制品-薯类,100.0,344.0,4.7,0.8,80.5
甘薯粉[地瓜粉],薯类淀粉及其制品-薯类,100.0,336.0,2.7,0.2,80.9
甘薯(红心)[山芋、红薯],薯类淀粉及其制品-薯类,90.0,61.0,0.7,0.2,15.3
木薯,薯类淀粉及其制品-薯类,99.0,119.0,2.1,0.3,27.8
鸡蛋（代表值）,蛋类及其制品-鸡蛋,87.0,139.0,13.1,8.6,2.4
鸡蛋（白皮）,蛋类及其制品-鸡蛋,87.0,138.0,12.7,9.0,1.5
鸡蛋（土鸡）,蛋类及其制品-鸡蛋,88.0,138.0,14.4,6.4,5.6
鸡蛋白,蛋类及其制品-鸡蛋,100.0,60.0,11.6,0.1,3.1
鸡蛋白（乌骨鸡）,蛋类及其制品-鸡蛋,100.0,44.0,9.8,0.1,1.0
鸡蛋黄,蛋类及其制品-鸡蛋,100.0,328.0,15.2,28.2,3.4
鸡蛋黄（乌骨鸡）,蛋类及其制品-鸡蛋,100.0,263.0,15.2,19.9,5.7
鸡蛋（红皮）,蛋类及其制品-鸡蛋,87.0,143.0,12.2,10.5,0.0
鸡蛋（藏鸡蛋）,蛋类及其制品-鸡蛋,86.0,162.0,12.6,11.3,2.4
鸡蛋（乌鸡蛋，绿皮）,蛋类及其制品-鸡蛋,88.0,170.0,12.6,10.6,6.1
鸡蛋粉 [全蛋粉],蛋类及其制品-鸡蛋,100.0,545.0,43.4,36.2,11.3
鸡蛋黄粉,蛋类及其制品-鸡蛋,100.0,644.0,31.6,55.1,5.3
松花蛋（鸡蛋）,蛋类及其制品-鸡蛋,83.0,178.0,14.8,10.6,5.8
鸡蛋（煮）,蛋类及其制品-鸡蛋,86.0,143.0,12.1,10.5,0.1
毛蛋,蛋类及其制品-鸡蛋,87.0,176.0,14.2,13.2,0.0
荷包蛋（油煎）,蛋类及其制品-鸡蛋,100.0,195.0,13.5,15.0,1.4
荷包蛋（煮）,蛋类及其制品-鸡蛋,100.0,155.0,12.3,11.7,0.2
鸭蛋,蛋类及其制品-鸭蛋,87.0,180.0,12.6,13.0,3.1
鸭蛋白,蛋类及其制品-鸭蛋,100.0,47.0,9.9,0.0,1.8
鸭蛋黄,蛋类及其制品-鸭蛋,100.0,378.0,14.5,33.8,4.0
海鸭蛋,蛋类及其制品-鸭蛋,87.0,243.0,12.7,13.8,16.9
松花蛋（鸭蛋）[皮蛋],蛋类及其制品-鸭蛋,90.0,171.0,14.2,10.7,4.5
鸭蛋（咸鸭蛋，生）,蛋类及其制品-鸭蛋,88.0,190.0,12.7,12.7,6.3
鸭蛋（咸鸭蛋，煮）,蛋类及其制品-鸭蛋,84.0,177.0,13.8,13.5,0.0
鹅蛋,蛋类及其制品-鹅蛋,87.0,196.0,11.1,15.6,2.8
鹅蛋白,蛋类及其制品-鹅蛋,100.0,48.0,8.9,0.0,3.2
鹅蛋黄,蛋类及其制品-鹅蛋,100.0,324.0,15.5,26.4,6.2
鹅蛋（煮）,蛋类及其制品-鹅蛋,85.0,177.0,12.7,13.6,1.0
鹌鹑蛋,蛋类及其制品-鹌鹑蛋,86.0,160.0,12.8,11.1,2.1
鹌鹑蛋（五香罐头）,蛋类及其制品-鹌鹑蛋,89.0,152.0,11.6,11.7,0.0
高粱米,谷类及其制品-其他,100.0,360.0,10.4,3.1,74.7
糜子（带皮）,谷类及其制品-其他,100.0,336.0,10.6,0.6,75.1
糜子米（炒米）,谷类及其制品-其他,100.0,376.0,8.1,2.6,80.5
苦荞麦粉,谷类及其制品-其他,100.0,316.0,9.7,2.7,66.0
荞麦,谷类及其制品-其他,100.0,337.0,9.3,2.3,73.0
荞麦（带皮）,谷类及其制品-其他,98.0,319.0,9.5,1.7,73.0
薏米 [薏仁米，苡米],谷类及其制品-其他,100.0,361.0,12.8,3.3,71.1
薏米面,谷类及其制品-其他,100.0,351.0,11.3,2.4,73.5
荞麦面,谷类及其制品-其他,100.0,340.0,11.3,2.8,70.2
大麦 [元麦],谷类及其制品-大麦,100.0,327.0,10.2,1.4,73.3
黑大麦,谷类及其制品-大麦,100.0,327.0,10.2,2.2,74.3
肚里黄,谷类及其制品-大麦,100.0,337.0,8.8,1.2,76.7
青稞,谷类及其制品-大麦,100.0,342.0,8.1,1.5,75.0
小米,谷类及其制品-小米黄米,100.0,361.0,9.0,3.1,75.1
小米面,谷类及其制品-小米黄米,100.0,357.0,7.2,2.1,77.7
小米粥,谷类及其制品-小米黄米,100.0,46.0,1.4,0.7,8.4
小米（黄）,谷类及其制品-小米黄米,100.0,364.0,8.9,3.0,77.7
大黄米 [黍子],谷类及其制品-小米黄米,100.0,356.0,13.6,2.7,71.1
黄米,谷类及其制品-小米黄米,100.0,351.0,9.7,1.5,76.9
小麦,谷类及其制品-小麦,100.0,338.0,11.9,1.3,75.2
五谷香,谷类及其制品-小麦,100.0,378.0,9.9,2.6,78.9
小麦粉（代表值）,谷类及其制品-小麦,100.0,359.0,12.4,1.7,74.1
小麦粉（富强粉，特一粉）,谷类及其制品-小麦,100.0,351.0,10.3,1.1,75.2
小麦粉（特二粉）,谷类及其制品-小麦,100.0,352.0,10.4,1.1,75.9
小麦胚粉,谷类及其制品-小麦,100.0,403.0,36.4,10.1,44.5
麸皮,谷类及其制品-小麦,100.0,282.0,15.8,4.0,61.4
小麦粉（标准粉）,谷类及其制品-小麦,100.0,362.0,15.7,2.5,70.9
小麦粉（特制）,谷类及其制品-小麦,100.0,366.0,13.3,2.2,73.5
挂面（代表值）,谷类及其制品-小麦,100.0,353.0,11.4,0.9,75.1
挂面（标准粉）,谷类及其制品-小麦,100.0,348.0,10.1,0.7,76.0
挂面（精制龙须面）,谷类及其制品-小麦,100.0,348.0,11.2,0.5,74.7
面条（生，代表值）,谷类及其制品-小麦,100.0,301.0,8.9,0.6,65.6
面条（标准粉，切面）,谷类及其制品-小麦,100.0,283.0,8.5,1.6,59.5
面条（特粉，切面）,谷类及其制品-小麦,100.0,287.0,7.3,0.1,64.5
面条（干切面）,谷类及其制品-小麦,100.0,355.0,11.0,0.1,77.7
面条（虾蓉面）,谷类及其制品-小麦,100.0,436.0,8.5,15.1,68.3
通心面 [通心粉],谷类及其制品-小麦,100.0,351.0,11.9,0.1,75.8
挂面（富强粉）,谷类及其制品-小麦,100.0,363.0,13.0,1.5,74.7
龙须面（素）,谷类及其制品-小麦,100.0,359.0,10.8,1.8,75.7
龙须面（鸡蛋）,谷类及其制品-小麦,100.0,352.0,14.0,1.8,71.5
玉米（鲜）,谷类及其制品-玉米,46.0,112.0,4.0,1.2,22.8
玉米（白，干）,谷类及其制品-玉米,100.0,352.0,8.8,3.8,74.7
玉米（黄，干）,谷类及其制品-玉米,100.0,348.0,8.7,3.8,73.0
玉米面（白）,谷类及其制品-玉米,100.0,352.0,8.0,4.5,73.1
玉米面（强化豆粉）,谷类及其制品-玉米,100.0,352.0,11.8,4.9,68.3
玉米粒（黄，干）,谷类及其制品-玉米,100.0,327.0,8.0,0.8,79.2
玉米面（黄）,谷类及其制品-玉米,100.0,350.0,8.5,1.5,78.4
玉米糁（黄）,谷类及其制品-玉米,100.0,326.0,7.4,1.2,78.7
玉米笋（罐头）,谷类及其制品-玉米,100.0,16.0,1.1,0.2,4.9
玉米面面条,谷类及其制品-玉米,100.0,350.0,6.6,0.3,80.5
稻米（代表值）,谷类及其制品-稻米,100.0,346.0,7.9,0.9,77.2
粳米（标一）,谷类及其制品-稻米,100.0,345.0,7.7,0.6,77.4
粳米（标二）,谷类及其制品-稻米,100.0,347.0,8.0,0.6,77.7
粳米（标三）,谷类及其制品-稻米,100.0,346.0,7.2,0.8,77.6
粳米（标四）,谷类及其制品-稻米,100.0,347.0,7.5,0.7,78.1
粳米（特等）,谷类及其制品-稻米,100.0,335.0,7.3,0.4,75.7
粳米（极品精米）,谷类及其制品-稻米,100.0,343.0,6.4,1.2,78.1
粳米（西域王米）,谷类及其制品-稻米,100.0,353.0,7.5,1.8,77.0
粳米（小站稻米）,谷类及其制品-稻米,100.0,346.0,6.9,0.7,79.2
籼米（标一）,谷类及其制品-稻米,100.0,348.0,7.7,0.7,77.9
籼米（标准）[机米],谷类及其制品-稻米,100.0,349.0,7.9,0.6,78.3
籼米（优标）,谷类及其制品-稻米,100.0,350.0,8.3,1.0,77.3
早籼,谷类及其制品-稻米,64.0,361.0,9.9,2.2,76.2
早籼（标一）,谷类及其制品-稻米,100.0,352.0,8.8,1.0,77.2
早籼（标二）,谷类及其制品-稻米,100.0,346.0,9.5,1.0,75.1
早籼（特等）,谷类及其制品-稻米,100.0,347.0,9.1,0.6,76.7
晚籼（标一）,谷类及其制品-稻米,100.0,346.0,7.9,0.7,77.3
晚籼（标二）,谷类及其制品-稻米,100.0,344.0,8.6,0.8,75.7
晚籼（特等）,谷类及其制品-稻米,100.0,342.0,8.1,0.3,76.9
粳稻（红）,谷类及其制品-稻米,64.0,348.0,7.0,2.0,76.4
黑米,谷类及其制品-稻米,100.0,341.0,9.4,2.5,72.2
香米,谷类及其制品-稻米,100.0,347.0,12.7,0.9,72.4
籼米,谷类及其制品-稻米,100.0,340.0,7.5,1.1,78.0
糙米,谷类及其制品-稻米,100.0,348.0,7.7,2.7,75.0
糯米 [江米],谷类及其制品-稻米,100.0,350.0,7.3,1.0,78.3
优糯米,谷类及其制品-稻米,100.0,345.0,9.0,1.0,75.3
早糯谷,谷类及其制品-稻米,64.0,360.0,7.1,3.2,77.0
紫红糯米 [血糯米],谷类及其制品-稻米,100.0,346.0,8.3,1.7,75.1
粳糯米,谷类及其制品-稻米,100.0,344.0,7.9,0.8,76.7
米饭（蒸，代表值）,谷类及其制品-稻米,100.0,116.0,2.6,0.3,25.9
粳米饭（蒸）,谷类及其制品-稻米,100.0,118.0,2.6,0.3,26.2
粳米粥,谷类及其制品-稻米,100.0,46.0,1.1,0.3,9.9
粳米粉[排米粉],谷类及其制品-稻米,100.0,356.0,7.4,0.1,81.5
粳米粉（干，细）,谷类及其制品-稻米,100.0,346.0,8.0,0.1,78.3
高蛋白豆米粉（籼米）,谷类及其制品-稻米,100.0,414.0,16.5,7.1,71.0
籼米饭（蒸）,谷类及其制品-稻米,100.0,117.0,3.0,0.4,26.4
籼米粥,谷类及其制品-稻米,100.0,59.0,1.3,0.2,13.4
米粉,谷类及其制品-稻米,100.0,349.0,0.4,0.8,85.8
河粉,谷类及其制品-稻米,100.0,359.0,7.7,1.5,79.2
海参,鱼虾蟹贝类-其他,100.0,78.0,16.5,0.2,2.5
海参（干）,鱼虾蟹贝类-其他,93.0,262.0,50.2,4.8,4.5
海参（水浸）,鱼虾蟹贝类-其他,100.0,25.0,6.0,0.1,0.0
海蜇皮,鱼虾蟹贝类-其他,100.0,33.0,3.7,0.3,3.8
海蜇头,鱼虾蟹贝类-其他,100.0,74.0,6.0,0.3,11.8
墨鱼（鲜，曼氏无针乌贼）,鱼虾蟹贝类-其他,69.0,83.0,15.2,0.9,3.4
墨鱼（干，曼氏无针乌贼）,鱼虾蟹贝类-其他,82.0,287.0,65.3,1.9,2.1
鱿鱼（鲜，中国枪乌贼）[枪乌贼],鱼虾蟹贝类-其他,97.0,84.0,17.4,1.6,0.0
鱿鱼（干，中国枪乌贼）,鱼虾蟹贝类-其他,98.0,313.0,60.0,4.6,7.8
鱿鱼（水浸）,鱼虾蟹贝类-其他,98.0,75.0,17.0,0.8,0.0
乌鱼蛋,鱼虾蟹贝类-其他,73.0,66.0,14.1,1.1,0.0
章鱼（章鱼肉）[八爪鱼],鱼虾蟹贝类-其他,100.0,52.0,10.6,0.4,1.4
章鱼[八爪鱼],鱼虾蟹贝类-其他,78.0,135.0,18.9,0.4,14.0
甲鱼蛋,鱼虾蟹贝类-其他,100.0,128.0,12.5,7.3,3.0
乌龟（龟板）,鱼虾蟹贝类-其他,28.0,466.0,9.9,44.4,6.8
乌龟（肉）,鱼虾蟹贝类-其他,100.0,250.0,14.5,21.1,0.4
金鲨鱼翅（干）,鱼虾蟹贝类-其他,100.0,350.0,84.1,0.5,2.3
鱼翅（干）,鱼虾蟹贝类-其他,100.0,362.0,88.4,0.9,0.0
棘参（鲜）,鱼虾蟹贝类-其他,53.0,21.0,4.1,0.0,1.2
梅花参（泡发）,鱼虾蟹贝类-其他,100.0,73.0,11.7,0.9,4.5
墨鱼（干）,鱼虾蟹贝类-其他,85.0,313.0,71.6,1.1,4.2
墨鱼圈,鱼虾蟹贝类-其他,100.0,72.0,13.0,2.2,0.0
墨鱼丸,鱼虾蟹贝类-其他,100.0,128.0,13.4,4.7,8.0
白米虾 [水虾米],鱼虾蟹贝类-虾,57.0,81.0,17.3,0.4,2.0
斑节对虾 [草虾],鱼虾蟹贝类-虾,59.0,103.0,18.6,0.8,5.4
长毛对虾 [大虾、白露虾],鱼虾蟹贝类-虾,65.0,90.0,18.5,0.4,3.0
蚵蛄蛄 [刺蛄、大头虾],鱼虾蟹贝类-虾,14.0,77.0,16.0,1.4,0.0
东方对虾 [中国对虾],鱼虾蟹贝类-虾,67.0,84.0,18.3,0.5,1.6
对虾,鱼虾蟹贝类-虾,61.0,93.0,18.6,0.8,2.8
海虾,鱼虾蟹贝类-虾,51.0,79.0,16.8,0.6,1.5
河虾,鱼虾蟹贝类-虾,86.0,87.0,16.4,2.4,0.0
基围虾,鱼虾蟹贝类-虾,60.0,101.0,18.2,1.4,3.9
江虾 [沼虾],鱼虾蟹贝类-虾,100.0,87.0,10.3,0.9,9.3
龙虾,鱼虾蟹贝类-虾,46.0,90.0,18.9,1.1,1.0
明虾,鱼虾蟹贝类-虾,57.0,85.0,13.4,1.8,3.8
塘水虾 [草虾],鱼虾蟹贝类-虾,57.0,96.0,21.2,1.2,0.0
虾虎,鱼虾蟹贝类-虾,32.0,81.0,11.6,1.7,4.8
鳌虾,鱼虾蟹贝类-虾,31.0,93.0,14.8,3.8,0.0
北极虾,鱼虾蟹贝类-虾,85.0,132.0,14.9,1.2,15.4
九节虾（鲜）,鱼虾蟹贝类-虾,61.0,90.0,21.4,0.1,0.8
口虾蛄 [皮皮虾],鱼虾蟹贝类-虾,28.0,82.0,14.8,1.7,1.8
罗氏沼虾,鱼虾蟹贝类-虾,40.0,91.0,20.6,0.8,0.0
南美白对虾,鱼虾蟹贝类-虾,56.0,83.0,19.4,0.2,0.8
青虾,鱼虾蟹贝类-虾,57.0,100.0,23.8,0.4,0.2
琼海虾,鱼虾蟹贝类-虾,100.0,56.0,8.9,1.8,0.9
虾米[海米、虾仁],鱼虾蟹贝类-虾,100.0,198.0,43.7,2.6,0.0
虾脑酱,鱼虾蟹贝类-虾,100.0,100.0,15.2,4.3,0.0
虾酱,鱼虾蟹贝类-虾,100.0,112.0,10.8,7.6,0.0
虾仁(红),鱼虾蟹贝类-虾,100.0,48.0,10.4,0.7,0.0
虾皮,鱼虾蟹贝类-虾,100.0,153.0,30.7,2.2,2.5
虾仁,鱼虾蟹贝类-虾,100.0,199.0,20.8,0.6,27.7
虾仁肉丸,鱼虾蟹贝类-虾,100.0,152.0,4.6,7.4,16.7
海蟹,鱼虾蟹贝类-蟹,55.0,95.0,13.8,2.3,4.7
河蟹,鱼虾蟹贝类-蟹,42.0,103.0,17.5,2.6,2.3
锯缘青蟹 [青蟹],鱼虾蟹贝类-蟹,43.0,80.0,14.6,1.6,1.7
梭子蟹,鱼虾蟹贝类-蟹,49.0,95.0,15.9,3.1,0.9
蟹肉,鱼虾蟹贝类-蟹,100.0,62.0,11.6,1.2,1.1
海蟹（小）,鱼虾蟹贝类-蟹,42.0,81.0,14.2,1.1,3.6
锯缘青蟹（公，鲜）,鱼虾蟹贝类-蟹,42.0,126.0,16.7,5.2,3.1
锯缘青蟹（母，鲜）,鱼虾蟹贝类-蟹,44.0,155.0,17.3,7.5,4.5
大闸蟹（母）,鱼虾蟹贝类-蟹,36.0,156.0,21.0,7.7,0.6
海蟹（公）,鱼虾蟹贝类-蟹,25.0,85.0,18.0,0.3,2.5
海蟹（母）,鱼虾蟹贝类-蟹,27.0,64.0,14.2,0.3,1.2
蟹足棒,鱼虾蟹贝类-蟹,100.0,123.0,9.0,0.6,20.5
蟹膏（大闸蟹，蒸）,鱼虾蟹贝类-蟹,100.0,167.0,15.4,9.8,4.4
蟹肉（大闸蟹，公，蒸）,鱼虾蟹贝类-蟹,100.0,128.0,24.2,3.4,0.0
蟹黄（大闸蟹，蒸）,鱼虾蟹贝类-蟹,100.0,255.0,24.0,17.2,1.2
蟹肉（大闸蟹，母，蒸）,鱼虾蟹贝类-蟹,100.0,131.0,22.4,4.2,0.9
梭子蟹（公，蒸）,鱼虾蟹贝类-蟹,28.0,79.0,19.0,0.2,0.0
梭子蟹（母，蒸）,鱼虾蟹贝类-蟹,21.0,101.0,24.1,0.4,0.0
鲍鱼 [杂色鲍],鱼虾蟹贝类-贝,65.0,84.0,12.6,0.8,6.6
鲍鱼 (干),鱼虾蟹贝类-贝,100.0,322.0,54.1,5.6,13.7
蛏子,鱼虾蟹贝类-贝,57.0,40.0,7.3,0.3,2.1
蛏干 [蛏子缢、蛏青子],鱼虾蟹贝类-贝,100.0,340.0,46.5,4.9,27.4
赤贝,鱼虾蟹贝类-贝,34.0,61.0,13.9,0.6,0.0
河蚌,鱼虾蟹贝类-贝,43.0,54.0,10.9,0.8,0.7
河蚬 [蚬子],鱼虾蟹贝类-贝,35.0,47.0,7.0,1.4,1.7
牡蛎 [海蛎子],鱼虾蟹贝类-贝,100.0,73.0,5.3,2.1,8.2
生蚝,鱼虾蟹贝类-贝,100.0,57.0,10.9,1.5,0.0
泥蚶 [血蚶、珠蚶],鱼虾蟹贝类-贝,30.0,71.0,10.0,0.8,6.0
扇贝 (鲜),鱼虾蟹贝类-贝,35.0,60.0,11.1,0.6,2.6
扇贝 (干) [干贝],鱼虾蟹贝类-贝,100.0,264.0,55.6,2.4,5.1
鲜贝,鱼虾蟹贝类-贝,100.0,77.0,15.7,0.5,2.5
银蚶 [蚶子],鱼虾蟹贝类-贝,27.0,71.0,12.2,1.4,2.3
蛤贝 (鲜) [淡菜、壳菜],鱼虾蟹贝类-贝,49.0,80.0,11.4,1.7,4.7
贻贝（干）[淡菜、壳菜],鱼虾蟹贝类-贝,100.0,355.0,47.8,9.3,20.1
海蚌 [西施舌],鱼虾蟹贝类-贝,47.0,42.0,9.5,0.3,0.2
鲍鱼（皱纹鲍）,鱼虾蟹贝类-贝,40.0,75.0,13.7,0.1,4.8
蛤蜊（代表值）,鱼虾蟹贝类-贝,39.0,62.0,10.1,1.1,2.8
蛤蜊（花蛤蜊）,鱼虾蟹贝类-贝,46.0,45.0,7.7,0.6,2.2
蛤蜊（毛蛤蜊）,鱼虾蟹贝类-贝,25.0,97.0,15.0,1.0,7.1
蛤蜊（秋蛤蜊）,鱼虾蟹贝类-贝,26.0,89.0,15.6,0.7,5.0
蛤蜊（沙蛤蜊）,鱼虾蟹贝类-贝,50.0,56.0,8.9,1.9,0.8
蛤蜊（杂色蛤蜊）,鱼虾蟹贝类-贝,40.0,53.0,7.5,2.2,0.7
螺（代表值）,鱼虾蟹贝类-贝,41.0,100.0,15.7,1.2,6.6
红螺,鱼虾蟹贝类-贝,55.0,119.0,20.2,0.9,7.6
黄螺 [东风螺],鱼虾蟹贝类-贝,43.0,106.0,19.8,1.0,4.5
螺蛳,鱼虾蟹贝类-贝,37.0,59.0,7.5,0.6,6.0
石螺,鱼虾蟹贝类-贝,27.0,90.0,12.8,0.7,8.2
田螺,鱼虾蟹贝类-贝,26.0,60.0,11.0,0.2,3.6
香海螺,鱼虾蟹贝类-贝,59.0,163.0,22.7,3.5,10.1
海蚌（鲜）,鱼虾蟹贝类-贝,65.0,51.0,6.9,0.2,5.5
海蚌（漳港海蚌，鲜）,鱼虾蟹贝类-贝,50.0,64.0,9.4,0.7,4.9
蛏子（焯）,鱼虾蟹贝类-贝,52.0,67.0,13.5,0.9,1.1
缢蛏（鲜）,鱼虾蟹贝类-贝,55.0,73.0,8.6,1.8,5.6
牛角江珧蛤（鲜）[长带子],鱼虾蟹贝类-贝,59.0,49.0,7.1,0.5,4.0
文蛤（鲜）,鱼虾蟹贝类-贝,31.0,56.0,9.2,0.7,3.2
血蛤（鲜）,鱼虾蟹贝类-贝,31.0,51.0,8.2,0.5,3.3
六角螺（鲜）,鱼虾蟹贝类-贝,7.0,118.0,23.5,0.5,4.8
海螺肉（干）,鱼虾蟹贝类-贝,100.0,295.0,65.7,0.5,7.0
文蛤丸,鱼虾蟹贝类-贝,100.0,211.0,16.2,9.2,15.8
白条鱼（裸鱼）,鱼虾蟹贝类-鱼,59.0,103.0,16.6,3.3,1.6
草鱼,鱼虾蟹贝类-鱼,58.0,113.0,16.6,5.2,0.0
赤眼鳟[金目鱼],鱼虾蟹贝类-鱼,59.0,109.0,18.1,4.1,0.0
鲶鱼[猴鱼],鱼虾蟹贝类-鱼,54.0,114.0,17.5,4.3,1.2
胡子鲇[塘虱（鱼）],鱼虾蟹贝类-鱼,50.0,146.0,15.4,8.0,3.1
黄颡鱼[戈牙鱼、黄鳍鱼],鱼虾蟹贝类-鱼,52.0,124.0,17.8,2.7,7.1
黄鳝[鳝鱼],鱼虾蟹贝类-鱼,67.0,89.0,18.0,1.4,1.2
黄鳝丝,鱼虾蟹贝类-鱼,88.0,69.0,15.4,0.8,0.0
尖嘴白,鱼虾蟹贝类-鱼,80.0,137.0,22.7,3.3,4.1
口头鱼,鱼虾蟹贝类-鱼,56.0,134.0,19.6,4.2,4.5
鲤鱼[鲤拐子],鱼虾蟹贝类-鱼,54.0,109.0,17.6,4.1,0.5
罗非鱼,鱼虾蟹贝类-鱼,55.0,98.0,18.4,1.5,2.8
罗非鱼（莫桑比克）[非洲黑鲫鱼],鱼虾蟹贝类-鱼,53.0,77.0,16.0,1.0,1.0
泥鳅,鱼虾蟹贝类-鱼,60.0,96.0,17.9,2.0,1.7
青鱼[青皮鱼、青鳞鱼、青混],鱼虾蟹贝类-鱼,63.0,118.0,20.1,4.2,0.0
乌鳢[黑鱼、乌鱼、生鱼],鱼虾蟹贝类-鱼,57.0,85.0,18.5,1.2,0.0
银鱼[面条鱼],鱼虾蟹贝类-鱼,100.0,105.0,17.2,4.0,0.0
湟鱼[裸鲤鱼],鱼虾蟹贝类-鱼,56.0,124.0,17.1,3.2,6.7
鲇鱼[胡子鲇、鲶胡、旺虾],鱼虾蟹贝类-鱼,65.0,103.0,17.3,3.7,0.0
鲶花,鱼虾蟹贝类-鱼,63.0,117.0,15.6,6.1,0.0
鲢鱼[白鲢、胖子、连子鱼],鱼虾蟹贝类-鱼,61.0,104.0,17.8,3.6,0.0
鲫鱼 [喜头鱼、海附鱼],鱼虾蟹贝类-鱼,54.0,108.0,17.1,2.7,3.8
鲥鱼 [雪鲫],鱼虾蟹贝类-鱼,57.0,95.0,18.4,2.1,0.7
鲥鱼 (罐头),鱼虾蟹贝类-鱼,100.0,399.0,30.7,26.9,8.5
鲌鱼 [鲂鱼、武昌鱼],鱼虾蟹贝类-鱼,59.0,135.0,18.3,6.3,1.2
鳗鲡 [鳗鱼、河鳗],鱼虾蟹贝类-鱼,84.0,181.0,18.6,10.8,2.3
鲱鱼 [胖头鱼、摆佳鱼、花鲢鱼],鱼虾蟹贝类-鱼,61.0,100.0,15.3,2.2,4.7
鳜鱼 [桂鱼、花鲫鱼],鱼虾蟹贝类-鱼,61.0,117.0,19.9,4.2,0.0
鳟鱼 [红鳟鱼],鱼虾蟹贝类-鱼,57.0,99.0,18.6,2.6,0.2
草鱼 [白鲩、草包鱼],鱼虾蟹贝类-鱼,58.0,96.0,17.7,2.6,0.5
鲢鱼 [白鲢、胖子、连子鱼],鱼虾蟹贝类-鱼,61.0,84.0,16.3,2.1,0.0
丁桂鱼,鱼虾蟹贝类-鱼,62.0,157.0,29.7,4.2,0.2
乌鳢 (野生) [黑鱼、乌鱼、生鱼],鱼虾蟹贝类-鱼,71.0,105.0,19.9,2.3,1.1
花骨鱼,鱼虾蟹贝类-鱼,57.0,155.0,25.8,5.6,0.4
黄颡鱼 [戈牙鱼、黄鳍鱼],鱼虾蟹贝类-鱼,44.0,161.0,17.3,10.2,0.0
回头鱼,鱼虾蟹贝类-鱼,61.0,107.0,14.5,5.3,0.4
鲷鱼,鱼虾蟹贝类-鱼,64.0,143.0,14.8,4.5,10.8
斑鱚 [剑骨鱼],鱼虾蟹贝类-鱼,54.0,135.0,16.8,7.3,0.0
抗浪鱼,鱼虾蟹贝类-鱼,85.0,174.0,16.6,11.0,2.1
蓝鳃太阳鱼,鱼虾蟹贝类-鱼,48.0,93.0,17.8,2.3,0.3
钳鱼,鱼虾蟹贝类-鱼,72.0,212.0,29.2,10.3,0.7
翘嘴红鲌 (鲜),鱼虾蟹贝类-鱼,59.0,123.0,18.1,5.6,0.1
鲅鱼,鱼虾蟹贝类-鱼,48.0,189.0,20.8,11.3,0.9
鲥鱼,鱼虾蟹贝类-鱼,69.0,100.0,23.4,0.4,0.6
雅鱼,鱼虾蟹贝类-鱼,73.0,131.0,26.5,2.7,0.1
胭脂鱼（养殖）,鱼虾蟹贝类-鱼,71.0,162.0,38.8,0.6,0.4
棒棒鱼（雅江冷水鱼）,鱼虾蟹贝类-鱼,49.0,118.0,27.1,1.1,0.0
尖嘴鱼（雅江冷水鱼）,鱼虾蟹贝类-鱼,61.0,107.0,17.1,2.2,4.6
胡子鱼（雅江冷水鱼）,鱼虾蟹贝类-鱼,46.0,99.0,17.4,1.3,4.4
白姑鱼 [白米子（鱼）],鱼虾蟹贝类-鱼,67.0,150.0,19.1,8.2,0.0
鲹鱼 [蓝圆鲹、边鱼],鱼虾蟹贝类-鱼,70.0,124.0,18.5,3.4,4.8
带鱼 [白带鱼、刀鱼],鱼虾蟹贝类-鱼,76.0,127.0,17.7,4.9,3.1
堤鱼,鱼虾蟹贝类-鱼,64.0,191.0,17.6,12.8,1.3
丁香鱼（干）,鱼虾蟹贝类-鱼,100.0,196.0,37.5,3.1,4.6
狗母鱼 [大头狗母鱼],鱼虾蟹贝类-鱼,67.0,100.0,16.7,2.3,3.0
海鲫鱼 [九九鱼],鱼虾蟹贝类-鱼,60.0,206.0,17.0,13.7,3.6
海鳗 [鯙勾],鱼虾蟹贝类-鱼,67.0,122.0,18.8,5.0,0.5
红娘鱼 [翼红娘鱼],鱼虾蟹贝类-鱼,55.0,105.0,18.0,2.8,1.9
黄姑鱼 [黄婆鸡],鱼虾蟹贝类-鱼,63.0,137.0,18.4,7.0,0.0
黄鱼（大黄花鱼）,鱼虾蟹贝类-鱼,66.0,97.0,17.7,2.5,0.8
黄鲂 [赤虹、老板鱼],鱼虾蟹贝类-鱼,75.0,81.0,18.5,0.5,0.6
金线鱼 [红三鱼],鱼虾蟹贝类-鱼,40.0,101.0,18.6,2.9,0.0
